/Users/MCN/Documents/github/academics/CS760/HW7/HW7_base/Results/out.csv
Domain state space is Discrete(16)
Domain action space is Discrete(4)
Episode 126: Reward 0.6374310100676854, Steps -1
Episode 127: Reward 0.6374310100676854, Steps -1
Episode 128: Reward 0.6374310100676854, Steps -1
Episode 129: Reward 0.6374310100676854, Steps -1
Episode 130: Reward 0.6374310100676854, Steps -1
Episode 131: Reward 0.6374310100676854, Steps -1
Episode 132: Reward 0.6374310100676854, Steps -1
Episode 133: Reward 0.6374310100676854, Steps -1
Episode 134: Reward 0.6374310100676854, Steps -1
Episode 135: Reward 0.6374310100676854, Steps -1
Episode 136: Reward 0.6374310100676854, Steps -1
Episode 137: Reward 0.6374310100676854, Steps -1
Episode 138: Reward 0.6374310100676854, Steps -1
Episode 139: Reward 0.6374310100676854, Steps -1
Episode 140: Reward 0.6374310100676854, Steps -1
Episode 141: Reward 0.6374310100676854, Steps -1
Episode 142: Reward 0.6374310100676854, Steps -1
Episode 143: Reward 0.6374310100676854, Steps -1
Episode 144: Reward 0.6374310100676854, Steps -1
Episode 145: Reward 0.6374310100676854, Steps -1
Episode 146: Reward 0.6374310100676854, Steps -1
Episode 147: Reward 0.6374310100676854, Steps -1
Episode 148: Reward 0.6374310100676854, Steps -1
Episode 149: Reward 0.6374310100676854, Steps -1
Episode 150: Reward 0.6374310100676854, Steps -1
Episode 151: Reward 0.6374310100676854, Steps -1
Episode 152: Reward 0.6374310100676854, Steps -1
Episode 153: Reward 0.6374310100676854, Steps -1
Episode 154: Reward 0.6374310100676854, Steps -1
Episode 155: Reward 0.6374310100676854, Steps -1
Episode 156: Reward 0.6374310100676854, Steps -1
Episode 157: Reward 0.6374310100676854, Steps -1
Episode 158: Reward 0.6374310100676854, Steps -1
Episode 159: Reward 0.6374310100676854, Steps -1
Episode 160: Reward 0.6374310100676854, Steps -1
Episode 161: Reward 0.6374310100676854, Steps -1
Episode 162: Reward 0.6374310100676854, Steps -1
Episode 163: Reward 0.6374310100676854, Steps -1
Episode 164: Reward 0.6374310100676854, Steps -1
Episode 165: Reward 0.6374310100676854, Steps -1
Episode 166: Reward 0.6374310100676854, Steps -1
Episode 167: Reward 0.6374310100676854, Steps -1
Episode 168: Reward 0.6374310100676854, Steps -1
Episode 169: Reward 0.6374310100676854, Steps -1
Episode 170: Reward 0.6374310100676854, Steps -1
Episode 171: Reward 0.6374310100676854, Steps -1
Episode 172: Reward 0.6374310100676854, Steps -1
Episode 173: Reward 0.6374310100676854, Steps -1
Episode 174: Reward 0.6374310100676854, Steps -1
Episode 175: Reward 0.6374310100676854, Steps -1
Episode 176: Reward 0.6374310100676854, Steps -1
Episode 177: Reward 0.6374310100676854, Steps -1
Episode 178: Reward 0.6374310100676854, Steps -1
Episode 179: Reward 0.6374310100676854, Steps -1
Episode 180: Reward 0.6374310100676854, Steps -1
Episode 181: Reward 0.6374310100676854, Steps -1
Episode 182: Reward 0.6374310100676854, Steps -1
Episode 183: Reward 0.6374310100676854, Steps -1
Episode 184: Reward 0.6374310100676854, Steps -1
Episode 185: Reward 0.6374310100676854, Steps -1
Episode 186: Reward 0.6374310100676854, Steps -1
Episode 187: Reward 0.6374310100676854, Steps -1
Episode 188: Reward 0.6374310100676854, Steps -1
Episode 189: Reward 0.6374310100676854, Steps -1
Episode 190: Reward 0.6374310100676854, Steps -1
Episode 191: Reward 0.6374310100676854, Steps -1
Episode 192: Reward 0.6374310100676854, Steps -1
Episode 193: Reward 0.6374310100676854, Steps -1
Episode 194: Reward 0.6374310100676854, Steps -1
Episode 195: Reward 0.6374310100676854, Steps -1
Episode 196: Reward 0.6374310100676854, Steps -1
Episode 197: Reward 0.6374310100676854, Steps -1
Episode 198: Reward 0.6374310100676854, Steps -1
Episode 199: Reward 0.6374310100676854, Steps -1
Episode 200: Reward 0.6374310100676854, Steps -1
Episode 201: Reward 0.6374310100676854, Steps -1
Episode 202: Reward 0.6374310100676854, Steps -1
Episode 203: Reward 0.6374310100676854, Steps -1
Episode 204: Reward 0.6374310100676854, Steps -1
Episode 205: Reward 0.6374310100676854, Steps -1
Episode 206: Reward 0.6374310100676854, Steps -1
Episode 207: Reward 0.6374310100676854, Steps -1
Episode 208: Reward 0.6374310100676854, Steps -1
Episode 209: Reward 0.6374310100676854, Steps -1
Episode 210: Reward 0.6374310100676854, Steps -1
Episode 211: Reward 0.6374310100676854, Steps -1
Episode 212: Reward 0.6374310100676854, Steps -1
Episode 213: Reward 0.6374310100676854, Steps -1
Episode 214: Reward 0.6374310100676854, Steps -1
Episode 215: Reward 0.6374310100676854, Steps -1
Episode 216: Reward 0.6374310100676854, Steps -1
Episode 217: Reward 0.6374310100676854, Steps -1
Episode 218: Reward 0.6374310100676854, Steps -1
Episode 219: Reward 0.6374310100676854, Steps -1
Episode 220: Reward 0.6374310100676854, Steps -1
Episode 221: Reward 0.6374310100676854, Steps -1
Episode 222: Reward 0.6374310100676854, Steps -1
Episode 223: Reward 0.6374310100676854, Steps -1
Episode 224: Reward 0.6374310100676854, Steps -1
Episode 225: Reward 0.6374310100676854, Steps -1
Episode 226: Reward 0.6374310100676854, Steps -1
Episode 227: Reward 0.6374310100676854, Steps -1
Episode 228: Reward 0.6374310100676854, Steps -1
Episode 229: Reward 0.6374310100676854, Steps -1
Episode 230: Reward 0.6374310100676854, Steps -1
Episode 231: Reward 0.6374310100676854, Steps -1
Episode 232: Reward 0.6374310100676854, Steps -1
Episode 233: Reward 0.6374310100676854, Steps -1
Episode 234: Reward 0.6374310100676854, Steps -1
Episode 235: Reward 0.6374310100676854, Steps -1
Episode 236: Reward 0.6374310100676854, Steps -1
Episode 237: Reward 0.6374310100676854, Steps -1
Episode 238: Reward 0.6374310100676854, Steps -1
Episode 239: Reward 0.6374310100676854, Steps -1
Episode 240: Reward 0.6374310100676854, Steps -1
Episode 241: Reward 0.6374310100676854, Steps -1
Episode 242: Reward 0.6374310100676854, Steps -1
Episode 243: Reward 0.6374310100676854, Steps -1
Episode 244: Reward 0.6374310100676854, Steps -1
Episode 245: Reward 0.6374310100676854, Steps -1
Episode 246: Reward 0.6374310100676854, Steps -1
Episode 247: Reward 0.6374310100676854, Steps -1
Episode 248: Reward 0.6374310100676854, Steps -1
Episode 249: Reward 0.6374310100676854, Steps -1
Episode 250: Reward 0.6374310100676854, Steps -1
Episode 251: Reward 0.6374310100676854, Steps -1
Episode 252: Reward 0.6374310100676854, Steps -1
Episode 253: Reward 0.6374310100676854, Steps -1
Episode 254: Reward 0.6374310100676854, Steps -1
Episode 255: Reward 0.6374310100676854, Steps -1
Episode 256: Reward 0.6374310100676854, Steps -1
Episode 257: Reward 0.6374310100676854, Steps -1
Episode 258: Reward 0.6374310100676854, Steps -1
Episode 259: Reward 0.6374310100676854, Steps -1
Episode 260: Reward 0.6374310100676854, Steps -1
Episode 261: Reward 0.6374310100676854, Steps -1
Episode 262: Reward 0.6374310100676854, Steps -1
Episode 263: Reward 0.6374310100676854, Steps -1
Episode 264: Reward 0.6374310100676854, Steps -1
Episode 265: Reward 0.6374310100676854, Steps -1
Episode 266: Reward 0.6374310100676854, Steps -1
Episode 267: Reward 0.6374310100676854, Steps -1
Episode 268: Reward 0.6374310100676854, Steps -1
Episode 269: Reward 0.6374310100676854, Steps -1
Episode 270: Reward 0.6374310100676854, Steps -1
Episode 271: Reward 0.6374310100676854, Steps -1
Episode 272: Reward 0.6374310100676854, Steps -1
Episode 273: Reward 0.6374310100676854, Steps -1
Episode 274: Reward 0.6374310100676854, Steps -1
Episode 275: Reward 0.6374310100676854, Steps -1
Episode 276: Reward 0.6374310100676854, Steps -1
Episode 277: Reward 0.6374310100676854, Steps -1
Episode 278: Reward 0.6374310100676854, Steps -1
Episode 279: Reward 0.6374310100676854, Steps -1
Episode 280: Reward 0.6374310100676854, Steps -1
Episode 281: Reward 0.6374310100676854, Steps -1
Episode 282: Reward 0.6374310100676854, Steps -1
Episode 283: Reward 0.6374310100676854, Steps -1
Episode 284: Reward 0.6374310100676854, Steps -1
Episode 285: Reward 0.6374310100676854, Steps -1
Episode 286: Reward 0.6374310100676854, Steps -1
Episode 287: Reward 0.6374310100676854, Steps -1
Episode 288: Reward 0.6374310100676854, Steps -1
Episode 289: Reward 0.6374310100676854, Steps -1
Episode 290: Reward 0.6374310100676854, Steps -1
Episode 291: Reward 0.6374310100676854, Steps -1
Episode 292: Reward 0.6374310100676854, Steps -1
Episode 293: Reward 0.6374310100676854, Steps -1
Episode 294: Reward 0.6374310100676854, Steps -1
Episode 295: Reward 0.6374310100676854, Steps -1
Episode 296: Reward 0.6374310100676854, Steps -1
Episode 297: Reward 0.6374310100676854, Steps -1
Episode 298: Reward 0.6374310100676854, Steps -1
Episode 299: Reward 0.6374310100676854, Steps -1
Episode 300: Reward 0.6374310100676854, Steps -1
Episode 301: Reward 0.6374310100676854, Steps -1
Episode 302: Reward 0.6374310100676854, Steps -1
Episode 303: Reward 0.6374310100676854, Steps -1
Episode 304: Reward 0.6374310100676854, Steps -1
Episode 305: Reward 0.6374310100676854, Steps -1
Episode 306: Reward 0.6374310100676854, Steps -1
Episode 307: Reward 0.6374310100676854, Steps -1
Episode 308: Reward 0.6374310100676854, Steps -1
Episode 309: Reward 0.6374310100676854, Steps -1
Episode 310: Reward 0.6374310100676854, Steps -1
Episode 311: Reward 0.6374310100676854, Steps -1
Episode 312: Reward 0.6374310100676854, Steps -1
Episode 313: Reward 0.6374310100676854, Steps -1
Episode 314: Reward 0.6374310100676854, Steps -1
Episode 315: Reward 0.6374310100676854, Steps -1
Episode 316: Reward 0.6374310100676854, Steps -1
Episode 317: Reward 0.6374310100676854, Steps -1
Episode 318: Reward 0.6374310100676854, Steps -1
Episode 319: Reward 0.6374310100676854, Steps -1
Episode 320: Reward 0.6374310100676854, Steps -1
Episode 321: Reward 0.6374310100676854, Steps -1
Episode 322: Reward 0.6374310100676854, Steps -1
Episode 323: Reward 0.6374310100676854, Steps -1
Episode 324: Reward 0.6374310100676854, Steps -1
Episode 325: Reward 0.6374310100676854, Steps -1
Episode 326: Reward 0.6374310100676854, Steps -1
Episode 327: Reward 0.6374310100676854, Steps -1
Episode 328: Reward 0.6374310100676854, Steps -1
Episode 329: Reward 0.6374310100676854, Steps -1
Episode 330: Reward 0.6374310100676854, Steps -1
Episode 331: Reward 0.6374310100676854, Steps -1
Episode 332: Reward 0.6374310100676854, Steps -1
Episode 333: Reward 0.6374310100676854, Steps -1
Episode 334: Reward 0.6374310100676854, Steps -1
Episode 335: Reward 0.6374310100676854, Steps -1
Episode 336: Reward 0.6374310100676854, Steps -1
Episode 337: Reward 0.6374310100676854, Steps -1
Episode 338: Reward 0.6374310100676854, Steps -1
Episode 339: Reward 0.6374310100676854, Steps -1
Episode 340: Reward 0.6374310100676854, Steps -1
Episode 341: Reward 0.6374310100676854, Steps -1
Episode 342: Reward 0.6374310100676854, Steps -1
Episode 343: Reward 0.6374310100676854, Steps -1
Episode 344: Reward 0.6374310100676854, Steps -1
Episode 345: Reward 0.6374310100676854, Steps -1
Episode 346: Reward 0.6374310100676854, Steps -1
Episode 347: Reward 0.6374310100676854, Steps -1
Episode 348: Reward 0.6374310100676854, Steps -1
