/Users/MCN/Documents/github/academics/CS760/HW7/HW7_base/Results/out.csv
Domain state space is Discrete(16)
Domain action space is Discrete(4)
Episode 1: Reward -14.0, Steps -1
Episode 115: Reward -16.160000000000004, Steps -1
Episode 116: Reward -16.160000000000004, Steps -1
Episode 117: Reward -16.160000000000004, Steps -1
Episode 118: Reward -16.160000000000004, Steps -1
Episode 119: Reward -16.160000000000004, Steps -1
Episode 120: Reward -16.160000000000004, Steps -1
Episode 121: Reward -16.160000000000004, Steps -1
Episode 122: Reward -16.160000000000004, Steps -1
Episode 123: Reward -16.160000000000004, Steps -1
Episode 124: Reward -16.160000000000004, Steps -1
Episode 125: Reward -16.160000000000004, Steps -1
Episode 126: Reward -16.160000000000004, Steps -1
Episode 127: Reward -16.160000000000004, Steps -1
Episode 128: Reward -16.160000000000004, Steps -1
Episode 129: Reward -16.160000000000004, Steps -1
Episode 130: Reward -16.160000000000004, Steps -1
Episode 131: Reward -16.160000000000004, Steps -1
Episode 132: Reward -16.160000000000004, Steps -1
Episode 133: Reward -16.160000000000004, Steps -1
Episode 134: Reward -16.160000000000004, Steps -1
Episode 135: Reward -16.160000000000004, Steps -1
Episode 136: Reward -16.160000000000004, Steps -1
Episode 137: Reward -16.160000000000004, Steps -1
Episode 138: Reward -16.160000000000004, Steps -1
Episode 139: Reward -16.160000000000004, Steps -1
Episode 140: Reward -16.160000000000004, Steps -1
Episode 141: Reward -16.160000000000004, Steps -1
Episode 142: Reward -16.160000000000004, Steps -1
Episode 143: Reward -16.160000000000004, Steps -1
Episode 144: Reward -16.160000000000004, Steps -1
Episode 145: Reward -16.160000000000004, Steps -1
Episode 146: Reward -16.160000000000004, Steps -1
Episode 147: Reward -16.160000000000004, Steps -1
Episode 148: Reward -16.160000000000004, Steps -1
Episode 149: Reward -16.160000000000004, Steps -1
Episode 150: Reward -16.160000000000004, Steps -1
Episode 151: Reward -16.160000000000004, Steps -1
Episode 152: Reward -16.160000000000004, Steps -1
Episode 153: Reward -16.160000000000004, Steps -1
Episode 154: Reward -16.160000000000004, Steps -1
Episode 155: Reward -16.160000000000004, Steps -1
Episode 156: Reward -16.160000000000004, Steps -1
Episode 157: Reward -16.160000000000004, Steps -1
Episode 158: Reward -16.160000000000004, Steps -1
