/Users/MCN/Documents/github/academics/CS760/HW7/HW7_base/Results/out.csv
Domain state space is Discrete(16)
Domain action space is Discrete(4)
Episode 128: Reward 2.1760922574227344, Steps -1
Episode 129: Reward 2.1760922574347723, Steps -1
Episode 130: Reward 2.1760922574447608, Steps -1
Episode 131: Reward 2.1760922574530497, Steps -1
Episode 132: Reward 2.1760922574599273, Steps -1
Episode 133: Reward 2.1760922574656343, Steps -1
Episode 134: Reward 2.17609225747037, Steps -1
Episode 135: Reward 2.1760922574743, Steps -1
Episode 136: Reward 2.1760922574775607, Steps -1
Episode 137: Reward 2.176092257480267, Steps -1
Episode 138: Reward 2.176092257482512, Steps -1
Episode 139: Reward 2.1760922574843753, Steps -1
Episode 140: Reward 2.176092257485921, Steps -1
Episode 141: Reward 2.176092257487204, Steps -1
Episode 142: Reward 2.1760922574882686, Steps -1
Episode 143: Reward 2.1760922574891524, Steps -1
Episode 144: Reward 2.176092257489885, Steps -1
Episode 145: Reward 2.176092257490493, Steps -1
Episode 146: Reward 2.176092257490998, Steps -1
Episode 147: Reward 2.1760922574914163, Steps -1
Episode 148: Reward 2.1760922574917645, Steps -1
Episode 149: Reward 2.1760922574920523, Steps -1
Episode 150: Reward 2.176092257492292, Steps -1
Episode 151: Reward 2.1760922574924906, Steps -1
Episode 152: Reward 2.1760922574926553, Steps -1
Episode 153: Reward 2.176092257492792, Steps -1
Episode 154: Reward 2.1760922574929054, Steps -1
Episode 155: Reward 2.176092257493, Steps -1
Episode 156: Reward 2.1760922574930777, Steps -1
Episode 157: Reward 2.1760922574931425, Steps -1
Episode 158: Reward 2.1760922574931962, Steps -1
Episode 159: Reward 2.176092257493241, Steps -1
Episode 160: Reward 2.176092257493278, Steps -1
Episode 161: Reward 2.1760922574933086, Steps -1
Episode 162: Reward 2.1760922574933343, Steps -1
Episode 163: Reward 2.176092257493355, Steps -1
Episode 164: Reward 2.176092257493373, Steps -1
Episode 165: Reward 2.176092257493387, Steps -1
Episode 166: Reward 2.1760922574933996, Steps -1
Episode 167: Reward 2.1760922574934094, Steps -1
Episode 168: Reward 2.1760922574934183, Steps -1
Episode 169: Reward 2.1760922574934245, Steps -1
Episode 170: Reward 2.1760922574934307, Steps -1
Episode 171: Reward 2.176092257493435, Steps -1
Episode 172: Reward 2.1760922574934396, Steps -1
Episode 173: Reward 2.1760922574934423, Steps -1
Episode 174: Reward 2.176092257493445, Steps -1
Episode 175: Reward 2.176092257493447, Steps -1
Episode 176: Reward 2.1760922574934494, Steps -1
Episode 177: Reward 2.1760922574934507, Steps -1
Episode 178: Reward 2.176092257493452, Steps -1
Episode 179: Reward 2.176092257493453, Steps -1
Episode 180: Reward 2.176092257493454, Steps -1
Episode 181: Reward 2.1760922574934547, Steps -1
Episode 182: Reward 2.176092257493455, Steps -1
Episode 183: Reward 2.1760922574934556, Steps -1
Episode 184: Reward 2.176092257493456, Steps -1
Episode 185: Reward 2.1760922574934565, Steps -1
Episode 186: Reward 2.1760922574934565, Steps -1
Episode 187: Reward 2.1760922574934565, Steps -1
Episode 188: Reward 2.176092257493457, Steps -1
Episode 189: Reward 2.1760922574934574, Steps -1
Episode 190: Reward 2.1760922574934574, Steps -1
Episode 191: Reward 2.1760922574934574, Steps -1
Episode 192: Reward 2.1760922574934574, Steps -1
Episode 193: Reward 2.1760922574934574, Steps -1
Episode 194: Reward 2.1760922574934574, Steps -1
Episode 195: Reward 2.1760922574934574, Steps -1
Episode 196: Reward 2.1760922574934574, Steps -1
Episode 197: Reward 2.1760922574934574, Steps -1
Episode 198: Reward 2.1760922574934574, Steps -1
Episode 199: Reward 2.1760922574934574, Steps -1
Episode 200: Reward 2.1760922574934574, Steps -1
Episode 201: Reward 2.1760922574934574, Steps -1
Episode 202: Reward 2.1760922574934574, Steps -1
Episode 203: Reward 2.1760922574934574, Steps -1
Episode 204: Reward 2.1760922574934574, Steps -1
Episode 205: Reward 2.1760922574934574, Steps -1
Episode 206: Reward 2.1760922574934574, Steps -1
Episode 207: Reward 2.1760922574934574, Steps -1
Episode 208: Reward 2.1760922574934574, Steps -1
Episode 209: Reward 2.1760922574934574, Steps -1
Episode 210: Reward 2.1760922574934574, Steps -1
Episode 211: Reward 2.1760922574934574, Steps -1
Episode 212: Reward 2.1760922574934574, Steps -1
Episode 213: Reward 2.1760922574934574, Steps -1
Episode 214: Reward 2.1760922574934574, Steps -1
Episode 215: Reward 2.1760922574934574, Steps -1
Episode 216: Reward 2.1760922574934574, Steps -1
Episode 217: Reward 2.1760922574934574, Steps -1
Episode 218: Reward 2.1760922574934574, Steps -1
Episode 219: Reward 2.1760922574934574, Steps -1
Episode 220: Reward 2.1760922574934574, Steps -1
Episode 221: Reward 2.1760922574934574, Steps -1
Episode 222: Reward 2.1760922574934574, Steps -1
Episode 223: Reward 2.1760922574934574, Steps -1
Episode 224: Reward 2.1760922574934574, Steps -1
Episode 225: Reward 2.1760922574934574, Steps -1
Episode 226: Reward 2.1760922574934574, Steps -1
Episode 227: Reward 2.1760922574934574, Steps -1
Episode 228: Reward 2.1760922574934574, Steps -1
Episode 229: Reward 2.1760922574934574, Steps -1
Episode 230: Reward 2.1760922574934574, Steps -1
Episode 231: Reward 2.1760922574934574, Steps -1
Episode 232: Reward 2.1760922574934574, Steps -1
Episode 233: Reward 2.1760922574934574, Steps -1
Episode 234: Reward 2.1760922574934574, Steps -1
Episode 235: Reward 2.1760922574934574, Steps -1
Episode 236: Reward 2.1760922574934574, Steps -1
Episode 237: Reward 2.1760922574934574, Steps -1
Episode 238: Reward 2.1760922574934574, Steps -1
Episode 239: Reward 2.1760922574934574, Steps -1
Episode 240: Reward 2.1760922574934574, Steps -1
Episode 241: Reward 2.1760922574934574, Steps -1
Episode 242: Reward 2.1760922574934574, Steps -1
Episode 243: Reward 2.1760922574934574, Steps -1
Episode 244: Reward 2.1760922574934574, Steps -1
Episode 245: Reward 2.1760922574934574, Steps -1
Episode 246: Reward 2.1760922574934574, Steps -1
Episode 247: Reward 2.1760922574934574, Steps -1
Episode 248: Reward 2.1760922574934574, Steps -1
Episode 249: Reward 2.1760922574934574, Steps -1
Episode 250: Reward 2.1760922574934574, Steps -1
Episode 251: Reward 2.1760922574934574, Steps -1
Episode 252: Reward 2.1760922574934574, Steps -1
Episode 253: Reward 2.1760922574934574, Steps -1
Episode 254: Reward 2.1760922574934574, Steps -1
Episode 255: Reward 2.1760922574934574, Steps -1
Episode 256: Reward 2.1760922574934574, Steps -1
Episode 257: Reward 2.1760922574934574, Steps -1
Episode 258: Reward 2.1760922574934574, Steps -1
Episode 259: Reward 2.1760922574934574, Steps -1
Episode 260: Reward 2.1760922574934574, Steps -1
Episode 261: Reward 2.1760922574934574, Steps -1
Episode 262: Reward 2.1760922574934574, Steps -1
Episode 263: Reward 2.1760922574934574, Steps -1
Episode 264: Reward 2.1760922574934574, Steps -1
Episode 265: Reward 2.1760922574934574, Steps -1
Episode 266: Reward 2.1760922574934574, Steps -1
Episode 267: Reward 2.1760922574934574, Steps -1
Episode 268: Reward 2.1760922574934574, Steps -1
Episode 269: Reward 2.1760922574934574, Steps -1
Episode 270: Reward 2.1760922574934574, Steps -1
Episode 271: Reward 2.1760922574934574, Steps -1
Episode 272: Reward 2.1760922574934574, Steps -1
Episode 273: Reward 2.1760922574934574, Steps -1
Episode 274: Reward 2.1760922574934574, Steps -1
Episode 275: Reward 2.1760922574934574, Steps -1
Episode 276: Reward 2.1760922574934574, Steps -1
Episode 277: Reward 2.1760922574934574, Steps -1
Episode 278: Reward 2.1760922574934574, Steps -1
Episode 279: Reward 2.1760922574934574, Steps -1
Episode 280: Reward 2.1760922574934574, Steps -1
Episode 281: Reward 2.1760922574934574, Steps -1
Episode 282: Reward 2.1760922574934574, Steps -1
Episode 283: Reward 2.1760922574934574, Steps -1
Episode 284: Reward 2.1760922574934574, Steps -1
Episode 285: Reward 2.1760922574934574, Steps -1
Episode 286: Reward 2.1760922574934574, Steps -1
Episode 287: Reward 2.1760922574934574, Steps -1
Episode 288: Reward 2.1760922574934574, Steps -1
Episode 289: Reward 2.1760922574934574, Steps -1
Episode 290: Reward 2.1760922574934574, Steps -1
Episode 291: Reward 2.1760922574934574, Steps -1
Episode 292: Reward 2.1760922574934574, Steps -1
Episode 293: Reward 2.1760922574934574, Steps -1
Episode 294: Reward 2.1760922574934574, Steps -1
Episode 295: Reward 2.1760922574934574, Steps -1
Episode 296: Reward 2.1760922574934574, Steps -1
Episode 297: Reward 2.1760922574934574, Steps -1
Episode 298: Reward 2.1760922574934574, Steps -1
Episode 299: Reward 2.1760922574934574, Steps -1
Episode 300: Reward 2.1760922574934574, Steps -1
Episode 301: Reward 2.1760922574934574, Steps -1
Episode 302: Reward 2.1760922574934574, Steps -1
Episode 303: Reward 2.1760922574934574, Steps -1
Episode 304: Reward 2.1760922574934574, Steps -1
Episode 305: Reward 2.1760922574934574, Steps -1
Episode 306: Reward 2.1760922574934574, Steps -1
Episode 307: Reward 2.1760922574934574, Steps -1
Episode 308: Reward 2.1760922574934574, Steps -1
Episode 309: Reward 2.1760922574934574, Steps -1
Episode 310: Reward 2.1760922574934574, Steps -1
Episode 311: Reward 2.1760922574934574, Steps -1
Episode 312: Reward 2.1760922574934574, Steps -1
Episode 313: Reward 2.1760922574934574, Steps -1
Episode 314: Reward 2.1760922574934574, Steps -1
Episode 315: Reward 2.1760922574934574, Steps -1
Episode 316: Reward 2.1760922574934574, Steps -1
Episode 317: Reward 2.1760922574934574, Steps -1
Episode 318: Reward 2.1760922574934574, Steps -1
Episode 319: Reward 2.1760922574934574, Steps -1
Episode 320: Reward 2.1760922574934574, Steps -1
Episode 321: Reward 2.1760922574934574, Steps -1
Episode 322: Reward 2.1760922574934574, Steps -1
Episode 323: Reward 2.1760922574934574, Steps -1
Episode 324: Reward 2.1760922574934574, Steps -1
Episode 325: Reward 2.1760922574934574, Steps -1
Episode 326: Reward 2.1760922574934574, Steps -1
Episode 327: Reward 2.1760922574934574, Steps -1
Episode 328: Reward 2.1760922574934574, Steps -1
Episode 329: Reward 2.1760922574934574, Steps -1
Episode 330: Reward 2.1760922574934574, Steps -1
Episode 331: Reward 2.1760922574934574, Steps -1
Episode 332: Reward 2.1760922574934574, Steps -1
Episode 333: Reward 2.1760922574934574, Steps -1
Episode 334: Reward 2.1760922574934574, Steps -1
Episode 335: Reward 2.1760922574934574, Steps -1
Episode 336: Reward 2.1760922574934574, Steps -1
Episode 337: Reward 2.1760922574934574, Steps -1
Episode 338: Reward 2.1760922574934574, Steps -1
Episode 339: Reward 2.1760922574934574, Steps -1
Episode 340: Reward 2.1760922574934574, Steps -1
Episode 341: Reward 2.1760922574934574, Steps -1
Episode 342: Reward 2.1760922574934574, Steps -1
Episode 343: Reward 2.1760922574934574, Steps -1
Episode 344: Reward 2.1760922574934574, Steps -1
Episode 345: Reward 2.1760922574934574, Steps -1
Episode 346: Reward 2.1760922574934574, Steps -1
Episode 347: Reward 2.1760922574934574, Steps -1
Episode 348: Reward 2.1760922574934574, Steps -1
Episode 349: Reward 2.1760922574934574, Steps -1
Episode 350: Reward 2.1760922574934574, Steps -1
Episode 351: Reward 2.1760922574934574, Steps -1
Episode 352: Reward 2.1760922574934574, Steps -1
Episode 353: Reward 2.1760922574934574, Steps -1
Episode 354: Reward 2.1760922574934574, Steps -1
Episode 355: Reward 2.1760922574934574, Steps -1
Episode 356: Reward 2.1760922574934574, Steps -1
Episode 357: Reward 2.1760922574934574, Steps -1
Episode 358: Reward 2.1760922574934574, Steps -1
Episode 359: Reward 2.1760922574934574, Steps -1
Episode 360: Reward 2.1760922574934574, Steps -1
Episode 361: Reward 2.1760922574934574, Steps -1
Episode 362: Reward 2.1760922574934574, Steps -1
Episode 363: Reward 2.1760922574934574, Steps -1
Episode 364: Reward 2.1760922574934574, Steps -1
Episode 365: Reward 2.1760922574934574, Steps -1
Episode 366: Reward 2.1760922574934574, Steps -1
Episode 367: Reward 2.1760922574934574, Steps -1
Episode 368: Reward 2.1760922574934574, Steps -1
Episode 369: Reward 2.1760922574934574, Steps -1
Episode 370: Reward 2.1760922574934574, Steps -1
Episode 371: Reward 2.1760922574934574, Steps -1
Episode 372: Reward 2.1760922574934574, Steps -1
Episode 373: Reward 2.1760922574934574, Steps -1
Episode 374: Reward 2.1760922574934574, Steps -1
Episode 375: Reward 2.1760922574934574, Steps -1
Episode 376: Reward 2.1760922574934574, Steps -1
Episode 377: Reward 2.1760922574934574, Steps -1
Episode 378: Reward 2.1760922574934574, Steps -1
Episode 379: Reward 2.1760922574934574, Steps -1
Episode 380: Reward 2.1760922574934574, Steps -1
Episode 381: Reward 2.1760922574934574, Steps -1
Episode 382: Reward 2.1760922574934574, Steps -1
Episode 383: Reward 2.1760922574934574, Steps -1
Episode 384: Reward 2.1760922574934574, Steps -1
Episode 385: Reward 2.1760922574934574, Steps -1
Episode 386: Reward 2.1760922574934574, Steps -1
Episode 387: Reward 2.1760922574934574, Steps -1
Episode 388: Reward 2.1760922574934574, Steps -1
Episode 389: Reward 2.1760922574934574, Steps -1
Episode 390: Reward 2.1760922574934574, Steps -1
